,contentId,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
0,8890720798209849691,Top 10 Intranet Trends of 2016,5 reasons your employees aren't sharing their knowledge,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Machine Learning and the VP Debate,Wide & Deep Learning: Better Together with TensorFlow,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards
1,310515487419366995,71 erros de português que precisam sumir dos seus e-mails,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,The AI business landscape,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels"
2,-1492913151930215984,Chrome DevTools - Console API Reference,"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure",Announcing .NET Core 1.0,Accidental discovery could help batteries last years longer,Monitoramento em tempo real com Elasticsearch e Kibana,Sam Newman - Backends For Frontends
3,3064370296170038610,"Google, Amazon and the upcoming battle over AI Assistants",How Netflix does A/B Testing - uxdesign.cc - User Experience Design,Machine Learning Is No Longer Just for Experts,Algorithms and architecture for job recommendations,"Deep Learning for Chatbots, Part 1 - Introduction",5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match
4,2372438485070148864,The Continuous Delivery Maturity Model,"DevOps security requires new mindset and tools for visibility, automation",DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Using Honcho to Create a Multi-Process Docker Container,"Docker - Build, Ship, and Run Any App, Anywhere",Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!
5,-348408475077850711,Introduction to release engineering,Beyond Progressive Web Apps Part 1,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Using Honcho to Create a Multi-Process Docker Container,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Torus
6,372531153711028286,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Using Honcho to Create a Multi-Process Docker Container,"Docker - Build, Ship, and Run Any App, Anywhere",Introduction to release engineering,The Continuous Delivery Maturity Model,Monitoramento em tempo real com Elasticsearch e Kibana
7,6521856301289868251,Notes on Reactive Programming Part I: The Reactive Landscape,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Building Flipkart Lite: A Progressive Web App,Introducing Kotlin support in Spring Framework 5.0,The Netflix Tech Blog: Netflix Billing Migration to AWS
8,-8142426490949346803,A identidade visual de Budapeste para as Olimpíadas de 2024,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Sete Reinos,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Usability Heuristics for Bots - Chatbots Magazine
9,7943088471380012839,Torus,Introduction to release engineering,"Autofill: What web devs should know, but don't",Cubr,Serverless Data Sync in Web Apps with Bit Torrent,Beyond Progressive Web Apps Part 1
